latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.0579963,101.53102,42.0,28800,Asia/Kuala_Lumpur,GMT+8

time,precipitation_sum (mm),temperature_2m_mean (°C)
2011-02-27,3.70,25.9
2011-02-28,0.70,25.8
2011-03-01,0.80,25.7
2011-03-02,1.10,26.0
2011-03-03,1.90,25.8
2011-03-04,1.20,25.9
2011-03-05,2.10,26.2
2011-03-06,0.10,26.4
2011-03-07,2.50,26.3
2011-03-08,16.80,25.8
2011-03-09,23.40,25.6
2011-03-10,14.10,25.7
2011-03-11,18.70,24.8
2011-03-12,22.50,25.1
2011-03-13,10.80,25.6
2011-03-14,18.30,25.3
2011-03-15,4.40,25.8
2011-03-16,9.90,25.6
2011-03-17,3.70,26.0
2011-03-18,16.00,25.7
2011-03-19,10.50,25.2
2011-03-20,11.10,25.1
2011-03-21,9.70,25.0
2011-03-22,14.50,24.6
2011-03-23,1.50,25.7
2011-03-24,1.30,26.1
2011-03-25,4.70,25.9
2011-03-26,1.20,26.2
2011-03-27,0.10,26.7
2011-03-28,2.60,26.8
2011-03-29,5.70,25.8
2011-03-30,2.20,26.0
2011-03-31,0.20,26.4
2011-04-01,1.50,26.3
2011-04-02,2.40,26.1
2011-04-03,0.40,26.3
2011-04-04,4.70,26.6
2011-04-05,0.80,26.5
2011-04-06,4.90,25.7
2011-04-07,6.70,25.6
2011-04-08,2.00,26.0
2011-04-09,5.70,25.6
2011-04-10,16.50,25.1
2011-04-11,13.40,25.4
2011-04-12,2.00,25.7
2011-04-13,12.90,25.4
2011-04-14,6.20,25.7
2011-04-15,45.80,25.1
2011-04-16,6.10,25.8
2011-04-17,2.00,26.6
2011-04-18,11.40,25.8
2011-04-19,2.60,26.6
2011-04-20,26.30,25.8
2011-04-21,2.90,26.1
2011-04-22,3.60,26.1
2011-04-23,4.40,26.3
2011-04-24,10.00,25.8
2011-04-25,10.90,25.7
2011-04-26,3.90,26.0
2011-04-27,12.50,26.1
2011-04-28,11.00,26.0
2011-04-29,36.60,25.3
2011-04-30,8.80,25.8
2011-05-01,1.20,26.4
2011-05-02,4.70,26.3
2011-05-03,5.80,26.2
2011-05-04,5.00,26.3
2011-05-05,0.00,27.4
2011-05-06,0.00,27.2
2011-05-07,0.00,27.4
2011-05-08,0.00,27.5
2011-05-09,0.00,27.5
2011-05-10,0.30,27.5
2011-05-11,1.00,27.1
2011-05-12,11.80,26.3
2011-05-13,0.20,26.6
2011-05-14,10.60,26.0
2011-05-15,4.50,26.0
2011-05-16,9.80,25.7
2011-05-17,14.30,25.6
2011-05-18,10.90,25.9
2011-05-19,2.20,26.2
2011-05-20,3.30,26.1
2011-05-21,6.70,26.0
2011-05-22,5.10,26.2
2011-05-23,3.30,26.3
2011-05-24,3.80,26.1
2011-05-25,1.90,26.4
2011-05-26,3.10,26.8
2011-05-27,4.20,26.5
2011-05-28,0.90,26.7
2011-05-29,0.00,26.8
2011-05-30,5.90,27.0
2011-05-31,13.50,26.0
2011-06-01,6.10,26.1
2011-06-02,0.00,26.7
2011-06-03,4.40,26.5
2011-06-04,1.70,26.8
2011-06-05,12.20,26.2
2011-06-06,2.10,26.9
2011-06-07,1.20,26.9
2011-06-08,4.80,26.5
2011-06-09,2.20,26.0
2011-06-10,3.80,26.0
2011-06-11,1.40,26.3
2011-06-12,1.50,26.4
2011-06-13,1.20,26.4
2011-06-14,3.30,26.4
2011-06-15,0.80,26.4
2011-06-16,0.00,26.4
2011-06-17,0.40,26.7
2011-06-18,1.00,26.4
2011-06-19,1.80,26.3
2011-06-20,2.90,26.5
2011-06-21,1.50,26.6
2011-06-22,4.80,25.8
2011-06-23,4.30,26.1
2011-06-24,0.30,26.6
2011-06-25,2.60,26.6
2011-06-26,1.00,26.8
2011-06-27,3.20,26.4
2011-06-28,0.00,26.9
2011-06-29,5.80,26.4
2011-06-30,0.00,26.6
2011-07-01,0.70,27.0
2011-07-02,0.40,26.9
2011-07-03,0.80,26.5
2011-07-04,0.00,27.1
2011-07-05,0.00,27.8
2011-07-06,0.30,27.3
2011-07-07,2.50,26.5
2011-07-08,0.70,26.5
2011-07-09,3.00,26.4
2011-07-10,0.70,26.9
2011-07-11,0.20,26.9
2011-07-12,0.70,27.0
2011-07-13,0.00,27.7
2011-07-14,2.80,27.0
2011-07-15,5.20,26.2
2011-07-16,6.30,26.1
2011-07-17,0.00,27.0
2011-07-18,0.00,27.4
2011-07-19,0.00,27.6
2011-07-20,0.00,28.1
2011-07-21,0.40,28.0
2011-07-22,5.30,27.0
2011-07-23,3.00,26.8
2011-07-24,1.00,27.2
2011-07-25,5.30,27.2
2011-07-26,0.00,27.7
2011-07-27,1.90,26.5
2011-07-28,1.10,26.8
2011-07-29,3.70,27.4
2011-07-30,2.10,27.2
2011-07-31,0.10,27.6
2011-08-01,0.00,27.8
2011-08-02,0.10,27.8
2011-08-03,0.00,28.0
2011-08-04,13.50,25.9
2011-08-05,0.80,26.9
2011-08-06,0.20,27.0
2011-08-07,3.30,26.6
2011-08-08,1.50,27.2
2011-08-09,0.20,27.6
2011-08-10,0.90,27.3
2011-08-11,0.00,27.8
2011-08-12,3.80,27.2
2011-08-13,4.10,26.3
2011-08-14,1.00,26.4
2011-08-15,1.30,26.8
2011-08-16,0.20,27.0
2011-08-17,0.00,27.6
2011-08-18,0.30,28.0
2011-08-19,1.00,27.8
2011-08-20,2.20,26.1
2011-08-21,3.20,27.0
2011-08-22,3.50,26.6
2011-08-23,5.10,26.3
2011-08-24,1.80,26.4
2011-08-25,12.60,25.5
2011-08-26,4.90,25.4
2011-08-27,3.70,26.1
2011-08-28,3.40,26.6
2011-08-29,19.60,25.7
2011-08-30,0.00,27.0
2011-08-31,0.20,27.1
2011-09-01,0.00,27.8
2011-09-02,3.40,26.4
2011-09-03,0.10,27.0
2011-09-04,0.20,27.6
2011-09-05,1.70,27.5
2011-09-06,0.30,28.1
2011-09-07,7.70,26.9
2011-09-08,5.20,26.6
2011-09-09,1.60,26.6
2011-09-10,11.10,25.7
2011-09-11,4.30,25.9
2011-09-12,1.40,26.7
2011-09-13,0.00,27.2
2011-09-14,9.70,25.9
2011-09-15,3.00,26.5
2011-09-16,12.10,25.6
2011-09-17,4.60,25.4
2011-09-18,8.30,26.1
2011-09-19,16.10,25.6
2011-09-20,0.00,26.1
2011-09-21,2.70,25.9
2011-09-22,13.90,25.0
2011-09-23,0.00,26.5
2011-09-24,0.50,26.6
2011-09-25,7.50,25.7
2011-09-26,7.30,25.4
2011-09-27,7.80,25.3
2011-09-28,2.10,26.1
2011-09-29,6.40,26.8
2011-09-30,4.00,26.1
2011-10-01,9.20,25.7
2011-10-02,5.40,26.0
2011-10-03,2.60,26.3
2011-10-04,9.80,25.3
2011-10-05,11.10,25.1
2011-10-06,4.50,25.8
2011-10-07,7.90,25.2
2011-10-08,5.40,25.4
2011-10-09,0.70,26.0
2011-10-10,0.60,26.1
2011-10-11,5.70,26.0
2011-10-12,0.80,26.7
2011-10-13,0.00,26.7
2011-10-14,0.70,26.4
2011-10-15,1.20,26.5
2011-10-16,2.90,26.5
2011-10-17,20.20,26.2
2011-10-18,21.80,25.6
2011-10-19,20.90,25.2
2011-10-20,28.10,25.1
2011-10-21,21.00,25.1
2011-10-22,13.60,25.3
2011-10-23,8.50,25.7
2011-10-24,36.40,25.4
2011-10-25,6.30,25.5
2011-10-26,17.60,25.4
2011-10-27,24.00,25.2
2011-10-28,15.00,25.3
2011-10-29,12.60,25.5
2011-10-30,7.10,25.7
2011-10-31,26.80,25.4
2011-11-01,15.80,25.3
2011-11-02,31.30,25.0
2011-11-03,16.00,25.0
2011-11-04,16.00,25.4
2011-11-05,5.60,25.4
2011-11-06,11.10,25.1
2011-11-07,4.20,25.2
2011-11-08,1.50,25.8
2011-11-09,2.00,26.1
2011-11-10,0.80,26.2
2011-11-11,5.80,25.7
2011-11-12,24.20,24.9
2011-11-13,30.10,25.3
2011-11-14,17.50,24.8
2011-11-15,13.20,24.7
2011-11-16,2.00,25.1
2011-11-17,6.90,25.7
2011-11-18,14.80,25.1
2011-11-19,8.00,25.7
2011-11-20,24.50,25.4
2011-11-21,30.40,25.4
2011-11-22,19.30,25.4
2011-11-23,7.20,25.3
2011-11-24,14.60,25.7
2011-11-25,11.50,25.8
2011-11-26,32.10,25.6
2011-11-27,37.80,25.5
2011-11-28,13.70,25.6
2011-11-29,13.90,25.9
2011-11-30,23.90,25.7
2011-12-01,8.50,25.9
2011-12-02,7.30,25.1
2011-12-03,0.00,25.9
2011-12-04,1.10,25.8
2011-12-05,0.80,25.5
2011-12-06,0.00,26.0
2011-12-07,7.40,25.8
2011-12-08,7.30,25.1
2011-12-09,4.70,25.6
2011-12-10,3.50,25.8
2011-12-11,19.70,25.6
2011-12-12,10.30,25.2
2011-12-13,2.80,25.2
2011-12-14,6.20,25.2
2011-12-15,2.10,25.1
2011-12-16,9.00,25.5
2011-12-17,36.00,25.4
2011-12-18,24.70,25.6
2011-12-19,32.30,25.0
2011-12-20,17.40,25.0
2011-12-21,3.10,25.3
2011-12-22,47.80,24.7
2011-12-23,26.10,25.3
2011-12-24,16.30,25.2
2011-12-25,1.10,25.9
2011-12-26,0.00,26.1
2011-12-27,5.80,25.9
2011-12-28,5.40,25.9
2011-12-29,3.60,25.9
2011-12-30,3.00,25.7
2011-12-31,0.60,26.0
2012-01-01,1.50,25.8
2012-01-02,0.00,26.4
2012-01-03,1.70,26.2
2012-01-04,0.70,26.3
2012-01-05,1.00,26.0
2012-01-06,0.10,26.5
2012-01-07,1.60,25.9
2012-01-08,4.20,25.6
2012-01-09,12.70,25.4
2012-01-10,15.00,25.2
2012-01-11,4.80,25.1
2012-01-12,1.90,25.5
2012-01-13,9.40,25.2
2012-01-14,0.40,25.7
2012-01-15,3.20,25.5
2012-01-16,0.00,26.3
2012-01-17,0.40,26.3
2012-01-18,4.10,26.3
2012-01-19,3.20,25.8
2012-01-20,9.10,25.3
2012-01-21,5.30,25.1
2012-01-22,2.20,25.4
2012-01-23,1.80,25.6
2012-01-24,0.10,26.5
2012-01-25,0.00,26.4
2012-01-26,0.00,26.2
2012-01-27,0.00,26.2
2012-01-28,1.20,26.0
2012-01-29,0.00,25.6
2012-01-30,2.20,26.1
2012-01-31,6.70,25.5
2012-02-01,0.80,26.2
2012-02-02,7.80,25.6
2012-02-03,19.10,24.9
2012-02-04,13.40,25.0
2012-02-05,0.60,25.7
2012-02-06,7.90,25.6
2012-02-07,11.80,25.1
2012-02-08,2.50,25.4
2012-02-09,0.40,26.0
2012-02-10,0.00,26.3
2012-02-11,0.30,26.5
2012-02-12,7.80,26.3
2012-02-13,11.20,25.6
2012-02-14,6.00,25.6
2012-02-15,1.10,25.5
2012-02-16,11.20,25.0
2012-02-17,1.50,26.1
2012-02-18,8.70,25.1
2012-02-19,9.90,25.3
2012-02-20,2.20,25.4
2012-02-21,2.80,25.5
2012-02-22,4.30,25.7
2012-02-23,8.20,25.7
2012-02-24,15.10,25.5
2012-02-25,6.50,25.7
2012-02-26,10.90,25.6
